method,step_label,function,n_levels,fit_order,fit_r2,error_coarsest,error_finest
irno,base,smooth1,4,1.3235807818630367,0.9392191730413205,0.0027310659247327,0.000211411789463
irno,base,smooth2,4,1.3666079546055447,0.9274043551478157,0.0035493181256643,0.0002606825220717
irno,base,x,4,1.6361798270057897,0.9603407875144782,0.0106829224144199,0.0004444835928964
irno,base,y,4,1.6519748454801808,0.9602762492635456,0.0108831859670701,0.000438925907173
irno,base,z,4,1.42907469230226,0.9803866246595121,0.0085552182042289,0.0005033699350025
irno,corrected_lmax16,smooth1,4,1.4021337372334604,0.9406398761813601,0.0027493559555684,0.0001833131007616
irno,corrected_lmax16,smooth2,4,1.405165703581948,0.9269709030647244,0.0035510946956644,0.0002424652570557
irno,corrected_lmax16,x,4,1.5914578135078297,0.9628142714006501,0.0107279593907996,0.0004812390059419
irno,corrected_lmax16,y,4,1.5876158317620364,0.9538394613423168,0.0109244090494135,0.000503834834877
irno,corrected_lmax16,z,4,1.3750262637300346,0.9805168661939688,0.0086624796747449,0.0005677760935617
irno,corrected_lmax24,smooth1,4,1.3199880269923112,0.9422411054507772,0.0027703093747788,0.0002133959701384
irno,corrected_lmax24,smooth2,4,1.339824938704183,0.9364545701763476,0.0035661420270121,0.0002694998848628
irno,corrected_lmax24,x,4,1.5383547371116706,0.9689997906646224,0.0107925332645173,0.0005258953320547
irno,corrected_lmax24,y,4,1.5289893559046512,0.9578779032568544,0.0109936163522725,0.0005596990177388
irno,corrected_lmax24,z,4,1.3349910206755957,0.9814128460469659,0.008754187628547,0.000619274678955
irno,corrected_lmax8,smooth1,4,1.4134827959724443,0.94117428143493,0.0027356077404715,0.0001788546351911
irno,corrected_lmax8,smooth2,4,1.4235067262485654,0.9258553873183089,0.0035445928790194,0.0002349745726813
irno,corrected_lmax8,x,4,1.6319418327385695,0.9611162358534195,0.0106904455982931,0.0004468927280126
irno,corrected_lmax8,y,4,1.6374305977501413,0.9564858245708444,0.0108837715852045,0.0004550643735753
irno,corrected_lmax8,z,4,1.4117319660119974,0.9805346596062005,0.0085956972455683,0.000523439395592
tempest,tempest,smooth1,4,1.0148453895194867,0.9999890633837005,0.0025195458843203,0.0003058161937162
tempest,tempest,smooth2,4,1.0130230209469613,0.999992365691898,0.0033907349981703,0.0004125432889994
tempest,tempest,x,4,1.0122182210388455,0.9999948649508228,0.0099282972477474,0.0012100044341562
tempest,tempest,y,4,1.0142726414129752,0.9999733970472545,0.0099792626307397,0.001210321317898
tempest,tempest,z,4,1.015669978093436,0.999937259167206,0.0098478611833271,0.0011894461072794
