model,val_set,direction,stage,finest_pair,mean_ratio_vs_tempest,functions
v20a,clean_narrowval,CS_to_ICOD,base,CS-r128_to_ICOD-r128,1.7467,x|y|z|smooth1|smooth2
v20a,clean_narrowval,CS_to_ICOD,corrected_lmax24,CS-r128_to_ICOD-r128,1.9786,x|y|z|smooth1|smooth2
v20a,clean_narrowval,ICOD_to_CS,base,ICOD-r128_to_CS-r128,4.0967,x|y|z|smooth1|smooth2
v20a,clean_narrowval,ICOD_to_CS,corrected_lmax24,ICOD-r128_to_CS-r128,4.3708,x|y|z|smooth1|smooth2
v20a,clean_narrowval,CS_to_RLL,base,CS-r128_to_RLL-r360-720,1.3608,x|y|z|smooth1|smooth2
v20a,clean_narrowval,CS_to_RLL,corrected_lmax24,CS-r128_to_RLL-r360-720,1.6124,x|y|z|smooth1|smooth2
v20a,clean_narrowval,RLL_to_CS,base,RLL-r360-720_to_CS-r128,1.8398,x|y|z|smooth1|smooth2
v20a,clean_narrowval,RLL_to_CS,corrected_lmax24,RLL-r360-720_to_CS-r128,1.9138,x|y|z|smooth1|smooth2
v20b,clean_narrowval,CS_to_ICOD,base,CS-r128_to_ICOD-r128,1.0656,x|y|z|smooth1|smooth2
v20b,clean_narrowval,CS_to_ICOD,corrected_lmax24,CS-r128_to_ICOD-r128,1.1272,x|y|z|smooth1|smooth2
v20b,clean_narrowval,ICOD_to_CS,base,ICOD-r128_to_CS-r128,6.0785,x|y|z|smooth1|smooth2
v20b,clean_narrowval,ICOD_to_CS,corrected_lmax24,ICOD-r128_to_CS-r128,7.6852,x|y|z|smooth1|smooth2
v20b,clean_narrowval,CS_to_RLL,base,CS-r128_to_RLL-r360-720,0.7702,x|y|z|smooth1|smooth2
v20b,clean_narrowval,CS_to_RLL,corrected_lmax24,CS-r128_to_RLL-r360-720,0.7505,x|y|z|smooth1|smooth2
v20b,clean_narrowval,RLL_to_CS,base,RLL-r360-720_to_CS-r128,3.8327,x|y|z|smooth1|smooth2
v20b,clean_narrowval,RLL_to_CS,corrected_lmax24,RLL-r360-720_to_CS-r128,4.8805,x|y|z|smooth1|smooth2
v20b,clean_repval,CS_to_ICOD,base,CS-r128_to_ICOD-r128,0.7663,x|y|z|smooth1|smooth2
v20b,clean_repval,CS_to_ICOD,corrected_lmax24,CS-r128_to_ICOD-r128,0.6941,x|y|z|smooth1|smooth2
v20b,clean_repval,ICOD_to_CS,base,ICOD-r128_to_CS-r128,3.7390,x|y|z|smooth1|smooth2
v20b,clean_repval,ICOD_to_CS,corrected_lmax24,ICOD-r128_to_CS-r128,3.2680,x|y|z|smooth1|smooth2
v20b,clean_repval,CS_to_RLL,base,CS-r128_to_RLL-r360-720,0.6411,x|y|z|smooth1|smooth2
v20b,clean_repval,CS_to_RLL,corrected_lmax24,CS-r128_to_RLL-r360-720,0.5939,x|y|z|smooth1|smooth2
v20b,clean_repval,RLL_to_CS,base,RLL-r360-720_to_CS-r128,2.5838,x|y|z|smooth1|smooth2
v20b,clean_repval,RLL_to_CS,corrected_lmax24,RLL-r360-720_to_CS-r128,2.4433,x|y|z|smooth1|smooth2
