direction,method,step_label,mean_order,min_order,max_order,mean_r2,mean_finest_error
CS_to_ICOD_4level,irno,base,1.1437481459349457,0.832893900879783,1.3270294723444964,0.7904440572986173,0.0012089179872042401
CS_to_ICOD_4level,irno,corrected_lmax16,1.0511566297961168,0.7620718874626516,1.222411591754268,0.7526976948763864,0.00143370936500784
CS_to_ICOD_4level,irno,corrected_lmax24,1.0023781880824874,0.7278692396881445,1.1650920481075726,0.7354855005009231,0.00157040074727566
CS_to_ICOD_4level,irno,corrected_lmax8,1.0984432646625553,0.7964551448977611,1.2770855077208725,0.7712631404887017,0.00131337349896066
CS_to_ICOD_4level,tempest,tempest,1.014005850202341,1.0122182210388455,1.015669978093436,0.9999773900481763,0.0008656262684098401
CS_to_RLL_3level,irno,base,0.7620362893848578,0.3864646992484369,1.0172821094486262,0.5855939713165078,0.00120139446235266
CS_to_RLL_3level,irno,corrected_lmax16,0.6945333350358384,0.3171936678270915,0.9601107829653952,0.5000230670298439,0.00139665428881904
CS_to_RLL_3level,irno,corrected_lmax24,0.6536428454517432,0.2829075711153967,0.9178084860275504,0.46862392345919135,0.0015239632689550199
CS_to_RLL_3level,irno,corrected_lmax8,0.7295118240964181,0.3502247865730502,0.9922628132192812,0.5390536806603533,0.00129010230041658
CS_to_RLL_3level,tempest,tempest,1.019192505882377,1.0085651141537837,1.028089101772958,0.9999707880241864,0.00109610234282764
ICOD_to_CS_4level,irno,base,0.6162076770114955,0.3292203752964374,0.837340154079563,0.5961688897404208,0.0007763748683864
ICOD_to_CS_4level,irno,corrected_lmax16,0.5006265486044524,0.2189399569931828,0.723920359494761,0.5049897256458769,0.00089494819420978
ICOD_to_CS_4level,irno,corrected_lmax24,0.4468200202728701,0.1675703036411854,0.6724032273888009,0.4811411956089892,0.0009695969122578
ICOD_to_CS_4level,irno,corrected_lmax8,0.5574988049409445,0.27341464070981,0.7794770320483643,0.5418647265322996,0.0008300809845370801
ICOD_to_CS_4level,tempest,tempest,1.0828208854508026,1.0315812856589237,1.1788081938581307,0.9989136766180458,0.0002327113887415153
RLL_to_CS_3level,irno,base,0.520452711115156,0.2580997894558791,0.706634853959053,0.8148459232253444,0.00056497959123068
RLL_to_CS_3level,irno,corrected_lmax16,0.44636272319736625,0.1660278338382512,0.6352726607260211,0.7436731168038951,0.0006210320379780599
RLL_to_CS_3level,irno,corrected_lmax24,0.42023814162594986,0.1323475371230742,0.6253246842473624,0.6768088186999802,0.00065935097132246
RLL_to_CS_3level,irno,corrected_lmax8,0.4813211385367472,0.2104776629045983,0.6688504924061531,0.7893628012424407,0.00058893543405162
RLL_to_CS_3level,tempest,tempest,1.0169119510898676,0.9888002826614708,1.0478489669158724,0.999910283724188,0.0003408675168532
