direction,step_label,mean_ratio_vs_tempest_v20a,mean_ratio_vs_tempest_v20b,ratio_improvement_v20b_over_v20a,mean_order_v20a,mean_order_v20b,order_delta_v20b_minus_v20a
CS_to_ICOD_4level,base,1.722967870764371,0.5615872514084315,3.068032378661121,1.1437481459349457,1.4912240729063353,0.3474759269713896
CS_to_ICOD_4level,corrected_lmax16,2.03823741961662,0.5877836902490908,3.4676658325664946,1.0511566297961168,1.4460103926869747,0.39485376289085794
CS_to_ICOD_4level,corrected_lmax24,2.2226333396361864,0.62504642299792,3.55594921890079,1.0023781880824874,1.4114965455696518,0.4091183574871644
CS_to_ICOD_4level,corrected_lmax8,1.871942928893933,0.5660926360044394,3.306778449029768,1.0984432646625553,1.473107132428745,0.37466386776618976
CS_to_RLL_3level,base,1.2966321184314504,0.5371582186911583,2.413873740200474,0.7620362893848578,1.4036983507449283,0.6416620613600705
CS_to_RLL_3level,corrected_lmax16,1.5141611157217845,0.6652039985820157,2.27623573963694,0.6945333350358384,1.2423218825980529,0.5477885475622145
CS_to_RLL_3level,corrected_lmax24,1.6491405033012594,0.738184668540723,2.234048705673277,0.6536428454517432,1.1825266251131736,0.5288837796614304
CS_to_RLL_3level,corrected_lmax8,1.3974871903913892,0.5924741027801984,2.3587312657779442,0.7295118240964181,1.3217344028817304,0.5922225787853123
ICOD_to_CS_4level,base,4.511232007824241,3.2270472892484925,1.3979441896789826,0.6162076770114955,0.5792771047276764,-0.03693057228381913
ICOD_to_CS_4level,corrected_lmax16,5.2092035039915165,2.853361328706719,1.8256375214675593,0.5006265486044524,0.6254159021986258,0.12478935359417331
ICOD_to_CS_4level,corrected_lmax24,5.640481255648799,2.7479070374305423,2.0526463154746994,0.4468200202728701,0.6545018402308994,0.2076818199580293
ICOD_to_CS_4level,corrected_lmax8,4.830041122387071,3.026145093096537,1.596103614927689,0.5574988049409445,0.595906480914402,0.03840767597345751
RLL_to_CS_3level,base,2.009587509702345,2.1904739610348893,0.9174213186049084,0.520452711115156,0.473031574687743,-0.047421136427413024
RLL_to_CS_3level,corrected_lmax16,2.226743205872482,1.932891836937721,1.1520268042521766,0.4463627231973662,0.5565422423667522,0.11017951916938601
RLL_to_CS_3level,corrected_lmax24,2.37093847467938,1.8585795298371,1.2756723275044286,0.4202381416259498,0.5980517338090628,0.17781359218311305
RLL_to_CS_3level,corrected_lmax8,2.103601466060504,2.056861393792798,1.022723977614028,0.4813211385367472,0.5080746613970801,0.026753522860332946
